word,snrDb,listId
pain,24,1
youth,24,1
wheat,24,1
dodge,24,1
cool,24,1
ditch,20,1
ring,20,1
kick,20,1
chair,20,1
luck,20,1
base,16,1
wire,16,1
red,16,1
ton,16,1
judge,16,1
hate,12,1
shack,12,1
tool,12,1
voice,12,1
rush,12,1
turn,8,1
young,8,1
bite,8,1
pick,8,1
half,8,1
far,4,1
learn,4,1
talk,4,1
mode,4,1
note,4,1
gaze,0,1
life,0,1
gate,0,1
read,0,1
bath,0,1
food,24,2
road,24,2
juice,24,2
late,24,2
hire,24,2
tire,20,2
such,20,2
shawl,20,2
haze,20,2
gun,20,2
live,16,2
date,16,2
gas,16,2
have,16,2
dog,16,2
good,12,2
search,12,2
pass,12,2
witch,12,2
chief,12,2
sour,8,2
doll,8,2
deep,8,2
soap,8,2
make,8,2
beg,4,2
mess,4,2
long,4,2
mouse,4,2
sheep,4,2
back,0,2
dab,0,2
kill,0,2
nice,0,2
calm,0,2
