FirstWord,LastWord,Category
# INITIAL CONSONANTS - Voicing Differences (Voiced vs Voiceless)
bat,pat,initial_voicing
bed,pet,initial_voicing
big,pig,initial_voicing
berry,perry,initial_voicing
buy,pie,initial_voicing
dime,time,initial_voicing
den,ten,initial_voicing
dare,tear,initial_voicing
dock,tock,initial_voicing
gill,kill,initial_voicing
gap,cap,initial_voicing
game,came,initial_voicing
got,cot,initial_voicing
zoo,sue,initial_voicing
zen,send,initial_voicing

# INITIAL CONSONANTS - Manner Differences
bat,cat,initial_manner
mat,pat,initial_manner
fan,van,initial_manner
fat,vat,initial_manner
fine,vine,initial_manner
sip,ship,initial_manner
sack,shack,initial_manner
seat,sheet,initial_manner
thin,sin,initial_manner
think,sink,initial_manner
thumb,some,initial_manner
then,den,initial_manner
rice,lice,initial_manner
rake,lake,initial_manner
red,led,initial_manner
run,lung,initial_manner

# INITIAL CONSONANTS - Place Differences
bat,mat,initial_place
bad,mad,initial_place
ball,mall,initial_place
pet,met,initial_place
pen,men,initial_place
cat,hat,initial_place
cap,gap,initial_place
cave,gave,initial_place
tea,sea,initial_place
tin,sin,initial_place
tab,sab,initial_place
name,dame,initial_place
neck,deck,initial_place
fit,wit,initial_place
fan,wan,initial_place

# VOWEL DIFFERENCES - Front/Back
bit,bet,vowel_height
pit,pet,vowel_height
sit,set,vowel_height
bet,bat,vowel_height
pen,pan,vowel_height
bed,bad,vowel_height
beat,bit,vowel_height
seat,sit,vowel_height
beet,bit,vowel_height
pool,pull,vowel_height
fool,full,vowel_height
suit,soot,vowel_height

# VOWEL DIFFERENCES - Tense/Lax
beet,bit,vowel_tension
beat,bit,vowel_tension
seat,sit,vowel_tension
feet,fit,vowel_tension
pool,pull,vowel_tension
Luke,look,vowel_tension
coat,caught,vowel_tension
boat,bought,vowel_tension

# VOWEL DIFFERENCES - Length
bad,bod,vowel_length
cat,cot,vowel_length
pat,pot,vowel_length
hat,hot,vowel_length
sad,sod,vowel_length

# FINAL CONSONANTS - Voicing
