sentence,choice1,choice2,choice3,choice4,difficulty,category,blankWords
Beach,Beach,Bench,Peach,Reach,easy,words,
Bench,Bench,Beach,French,Trench,easy,words,
Bike,Bike,Hike,Pike,Like,easy,words,
Bird,Bird,Word,Heard,Third,easy,words,
Blank,Blank,Plank,Frank,Thank,easy,words,
Bread,Bread,Thread,Dread,Spread,easy,words,
Brown,Brown,Crown,Drown,Frown,easy,words,
Brush,Brush,Crush,Rush,Blush,easy,words,
Chest,Chest,Best,Rest,Test,easy,words,
Cloud,Cloud,Loud,Proud,Crowd,easy,words,
Coin,Coin,Join,Loin,Groin,medium,words,
Corn,Corn,Horn,Torn,Worn,medium,words,
Creek,Creek,Cheek,Seek,Peek,medium,words,
Crown,Crown,Brown,Drown,Frown,medium,words,
Desk,Desk,Deck,Dusk,Disk,medium,words,
Drive,Drive,Dive,Strive,Thrive,medium,words,
Drum,Drum,Dumb,Plum,Sum,medium,words,
Flag,Flag,Lag,Bag,Tag,medium,words,
Flame,Flame,Frame,Claim,Blame,medium,words,
Fruit,Fruit,Suit,Brute,Flute,medium,words,
Glass,Glass,Grass,Class,Pass,hard,words,
Globe,Globe,Robe,Probe,Lobe,hard,words,
Glove,Glove,Love,Dove,Shove,hard,words,
Grand,Grand,Brand,Stand,Hand,hard,words,
Grind,Grind,Kind,Mind,Blind,hard,words,
King,King,Ring,Wing,Sing,hard,words,
Knife,Knife,Life,Wife,Strife,hard,words,
Mail,Mail,Tail,Sail,Rail,hard,words,
Match,Match,Catch,Patch,Batch,hard,words,
Mouse,Mouse,House,Blouse,Spouse,hard,words,
