Ball,Dinosaur,syllables
Bat,Bicycle,syllables
Doll,Soccer Ball,syllables
Cat,Apple Pie,syllables
Milk,Lemonade,syllables
Shirt,Computer,syllables
Soup,Candy Bar,syllables
Shoe,Radio,syllables
Car,Popsicle,syllables
Mom,Dinosaur,syllables
House,Computer,syllables
Dad,Soccer Ball,syllables
Sad,Lemonade,syllables
Cup,Table Cloth,syllables
Ball,Lemon,syllables
Bat,Cookie,syllables
Doll,Water,syllables
Cat,Grape juice,syllables
Milk,Lego,syllables
Shirt,TV,syllables
Dog,Hamster,syllables
Shoe,Doorknob,syllables
Car,Hot Dog,syllables
Mom,Baseball,syllables
Dad,Running,syllables
House,Laughing,syllables
Sad,Swimming,syllables
Chair,Table,syllables
Crying,Soccer Ball,syllables
Happy,Apple Pie,syllables
Lemon,Dinosaur,syllables
Cookie,Bicycle,syllables
Water,Soccer Ball,syllables
Grape Juice,Apple Juice,syllables
Lego,Lemonade,syllables
TV,Computer,syllables
Doorknob,Radio,syllables
Hot Dog,Applesauce,syllables
Baseball,Candy Bar,syllables
Running,Popsicle,syllables
Laughing,Dinosaur,syllables
Swimming,Bicycle,syllables
