# Wide Vowel Contrasts (wv) - /i/ vs /u/
Bee,Boo,wv
See,Sue,wv
Me,Moo,wv
Feet,Food,wv
Seat,Suit,wv
Meat,Moot,wv
Beat,Boot,wv
Heat,Hoot,wv
Sheep,Shoop,wv
Cheap,Choop,wv

# Wide Vowel Contrasts - /æ/ vs /oʊ/
Bat,Boat,wv
Map,Mop,wv
Cat,Coat,wv
Hat,Hote,wv
Tap,Tope,wv
Sack,Soak,wv
Back,Boke,wv
Cap,Cope,wv
Pat,Poat,wv
Rack,Roak,wv

# Wide Vowel Contrasts - /ɑ/ vs /æ/
Hot,Hat,wv
Pot,Pat,wv
Cot,Cat,wv
Sock,Sack,wv
Top,Tap,wv
Shop,Shap,wv
Mop,Map,wv
Lock,Lack,wv
Rock,Rack,wv
Cop,Cap,wv

# Wide Vowel Contrasts - /i/ vs /oʊ/
Sheep,Shope,wv
Heat,Hote,wv
Seat,Sote,wv
Beet,Boat,wv
Meat,Moat,wv
Feet,Foat,wv
Bean,Bone,wv
Peek,Poke,wv
Cheap,Chope,wv
Leap,Lope,wv

# Wide Vowel Contrasts - Mixed
Home,Ham,wv
Phone,Fan,wv
No,Knee,wv
Cot,Coat,wv
Sock,Soak,wv
Walk,Woke,wv
Fall,Foal,wv
Boot,Boat,wv
Shoe,Show,wv
Lou,Low,wv
Pool,Pole,wv
Moo,Mow,wv
Two,Toe,wv

# Narrow Vowel Contrasts (nv) - /i/ vs /ɪ/
Pete,Pit,nv
Meat,Mitt,nv
Weak,Wick,nv
Deep,Dip,nv
Sheep,Ship,nv
Neat,Knit,nv
Heap,Hip,nv
Beet,Bit,nv
Cheek,Chick,nv
Feet,Fit,nv
Seek,Sick,nv
Reek,Rick,nv
Leak,Lick,nv
Peak,Pick,nv
Bean,Bin,nv
Meal,Mill,nv
Steal,Still,nv
Wheel,Will,nv
Feel,Fill,nv
Seal,Sill,nv

# Narrow Vowel Contrasts - /ɛ/ vs /ɪ/
Pen,Pin,nv
Ten,Tin,nv
Neck,Nick,nv
Spell,Spill,nv
Bell,Bill,nv
Fell,Fill,nv
Shell,Shill,nv
Well,Will,nv
Sell,Sill,nv
Tell,Till,nv
Hen,Hin,nv
Ben,Bin,nv
Den,Din,nv
Peck,Pick,nv
Deck,Dick,nv

# Narrow Vowel Contrasts - /ɛ/ vs /æ/
Beg,Bag,nv
Ken,Can,nv
Bed,Bad,nv
Men,Man,nv
Pen,Pan,nv
Wet,Watt,nv
Pet,Pat,nv
Met,Mat,nv
Bet,Bat,nv
Set,Sat,nv
Leg,Lag,nv
Peg,Pag,nv
Keg,Cag,nv
Den,Dan,nv
Ben,Ban,nv

# Narrow Vowel Contrasts - /ɑ/ vs /oʊ/
Cot,Coat,nv
Sock,Soak,nv
Walk,Woke,nv
Fall,Foal,nv
Lock,Loke,nv
Rock,Roak,nv
Cop,Cope,nv
Mop,Mope,nv
Top,Tope,nv
Shop,Shope,nv

# Narrow Vowel Contrasts - /ɑ/ vs /ʌ/
Cob,Cab,nv
Top,Tap,nv
Shock,Shack,nv
Knot,Gnat,nv
Pot,Putt,nv
Hot,Hut,nv
Cot,Cut,nv
Shot,Shut,nv
Cop,Cup,nv
Got,Gut,nv
Dock,Duck,nv
Lock,Luck,nv
Clock,Cluck,nv
Sock,Suck,nv
Rock,Ruck,nv

# Narrow Vowel Contrasts - /u/ vs /oʊ/
Boot,Boat,nv
Shoe,Show,nv
Lou,Low,nv
Pool,Pole,nv
Moo,Mow,nv
Two,Toe,nv
Suit,Sote,nv
Root,Rote,nv
Hoot,Hote,nv
Toot,Tote,nv

# Additional Vowel Contrasts
Bait,Bet,nv
Gate,Get,nv
Late,Let,nv
Mate,Met,nv
Wait,Wet,nv
Date,Debt,nv
Fate,Fett,nv
Hate,Het,nv
Rate,Ret,nv
Sail,Sell,nv
Tail,Tell,nv
Mail,Mell,nv
Nail,Nell,nv
Pail,Pell,nv
Rail,Rell,nv

# Diphthong Contrasts
Bite,Bet,nv
Kite,Kit,nv
Site,Sit,nv
Might,Mitt,nv
Fight,Fit,nv
Light,Lit,nv
Night,Knit,nv
Right,Rit,nv
White,Whit,nv
Sight,Sit,nv
