word,choice1,choice2,choice3,choice4,category
cat,cat,bat,hat,mat,wordRecognition
house,house,mouse,spouse,louse,wordRecognition
tree,tree,free,three,knee,wordRecognition
phone,phone,bone,cone,stone,wordRecognition
light,light,night,might,sight,wordRecognition
book,book,cook,look,took,wordRecognition
car,car,bar,jar,tar,wordRecognition
dog,dog,log,fog,hog,wordRecognition
sun,sun,bun,fun,run,wordRecognition
rain,rain,pain,main,train,wordRecognition
ball,ball,call,fall,hall,wordRecognition
fish,fish,dish,wish,swish,wordRecognition
moon,moon,noon,soon,spoon,wordRecognition
bear,bear,pear,wear,chair,wordRecognition
star,star,car,far,jar,wordRecognition
bird,bird,word,heard,third,wordRecognition
coin,coin,join,point,boil,wordRecognition
corn,corn,horn,worn,born,wordRecognition
gate,gate,late,mate,plate,wordRecognition
ring,ring,sing,wing,king,wordRecognition
shoe,shoe,blue,true,glue,wordRecognition
milk,milk,silk,bill,fill,wordRecognition
desk,desk,nest,test,rest,wordRecognition
lamp,lamp,camp,damp,stamp,wordRecognition
seat,seat,beat,heat,meat,wordRecognition
wind,wind,find,kind,blind,wordRecognition
boat,boat,coat,goat,float,wordRecognition
king,king,ring,sing,thing,wordRecognition
cup,cup,pup,up,sup,wordRecognition
pen,pen,ten,men,hen,wordRecognition
fan,fan,can,man,pan,wordRecognition
bat,bat,cat,hat,rat,wordRecognition
bell,bell,sell,tell,well,wordRecognition
tent,tent,bent,sent,went,wordRecognition
sand,sand,band,hand,land,wordRecognition
drum,drum,hum,gum,plum,wordRecognition
flag,flag,bag,tag,drag,wordRecognition
nest,nest,best,rest,test,wordRecognition
pink,pink,sink,link,think,wordRecognition
door,door,floor,more,shore,wordRecognition
cake,cake,lake,make,take,wordRecognition
bike,bike,like,hike,strike,wordRecognition
rose,rose,nose,hose,those,wordRecognition
duck,duck,truck,stuck,luck,wordRecognition
lock,lock,rock,sock,clock,wordRecognition
crown,crown,brown,down,town,wordRecognition
chest,chest,best,rest,nest,wordRecognition
slide,slide,hide,ride,side,wordRecognition
glass,glass,grass,class,pass,wordRecognition
peach,peach,beach,teach,reach,wordRecognition
mail,mail,tail,sail,nail,wordRecognition
chick,chick,stick,thick,quick,wordRecognition
flame,flame,game,name,same,wordRecognition
sheep,sheep,sleep,keep,deep,wordRecognition
shirt,shirt,dirt,hurt,skirt,wordRecognition
plant,plant,grant,slant,chant,wordRecognition
toast,toast,coast,most,post,wordRecognition
chain,chain,rain,train,drain,wordRecognition
chess,chess,dress,less,mess,wordRecognition
stone,stone,bone,phone,cone,wordRecognition
snake,snake,lake,cake,bake,wordRecognition
grape,grape,cape,tape,shape,wordRecognition
chair,chair,hair,fair,pair,wordRecognition
clock,clock,block,rock,sock,wordRecognition
cloud,cloud,loud,proud,crowd,wordRecognition
fruit,fruit,suit,flute,boot,wordRecognition
wheel,wheel,feel,seal,meal,wordRecognition
glove,glove,dove,love,shove,wordRecognition
mouse,mouse,house,spouse,blouse,wordRecognition
knife,knife,life,wife,strife,wordRecognition
swing,swing,ring,bring,string,wordRecognition
brush,brush,crush,rush,hush,wordRecognition
track,track,back,pack,stack,wordRecognition
plate,plate,gate,late,state,wordRecognition
smile,smile,mile,tile,while,wordRecognition
drive,drive,five,dive,hive,wordRecognition
paint,paint,saint,faint,taint,wordRecognition
beach,beach,teach,peach,reach,wordRecognition
cloud,cloud,proud,loud,crowd,wordRecognition
sleep,sleep,sheep,deep,keep,wordRecognition
brown,brown,crown,down,town,wordRecognition
smile,smile,while,pile,tile,wordRecognition
bread,bread,head,read,thread,wordRecognition
match,match,catch,patch,latch,wordRecognition
bench,bench,french,wrench,trench,wordRecognition
whale,whale,scale,tale,sale,wordRecognition
tooth,tooth,booth,smooth,youth,wordRecognition
creek,creek,cheek,seek,week,wordRecognition
shell,shell,smell,spell,well,wordRecognition
beach,beach,reach,peach,teach,wordRecognition
globe,globe,robe,probe,lobe,wordRecognition
skate,skate,gate,plate,crate,wordRecognition
plant,plant,slant,grant,chant,wordRecognition
grand,grand,hand,sand,brand,wordRecognition
flame,flame,name,game,frame,wordRecognition
grind,grind,find,kind,wind,wordRecognition
blank,blank,tank,rank,bank,wordRecognition
steep,steep,sheep,sleep,keep,wordRecognition
stove,stove,drove,grove,cove,wordRecognition
